"cf","nome","cognome","residenza"
"VFKNDG91H65C623X","Alcide","Quattrociocchi","Assoro"
"MRRFPM58E29C803O","Alcibiade","Bracaglia","Avezzano"
"RLBRBL54C59I690Y","Agapito","Campagiorni","Avigliano Umbro"
"KBWCYS71M09B985N","Alberto","Bracaglia","Ausonia"
"ZBRPQL35S52F939S","Adelardo","Mangiapelo","Avise"
"RZRKLC70H07L772S","Abaco","Pallucca","Avellino"
"TPLFHK94L23C596M","Aleardo","Burla","Azzano"
"NZVDZQ91M61M211F","Alarico","Mangiapelo","Auletta"
"BMPZVG79R45L487W","Alcino","Scaccia","Attimis"
"BNFTNW47C31L775D","Adelgardo","Burla","Aurigo"
"PDHHXR28T43A184X","Achille","Scaccia","Avigliano"
"GZMVGD91H61E684W","Alighiero","Scaccia","Auronzo di Cadore"
"GYCJCG74P43E317Y","Acrisio","Bracaglia","Attigliano"
"PPJTKR52S49G297K","Alcide","Mangiapelo","Aviano"
"HSLMDN80P51B235Q","Alcide","Burla","Asso"
"QTPVZC86D08E615C","Alceste","Quattrociocchi","Avelengo"
"PFXYBC33H43F924E","Adeodato","Burla","Azzano d'Asti"
"DTBFGB99B22A760E","Acrisio","Mangiapelo","Azzano Mella"
"LKDGXK54D05M153T","Aladino","Bracaglia","Atina"
"QAUDCO74E20B457F","Abdone","Burla","Atella"
"HCYBGQ39M54F035P","Agabio","Scaccia","Azzano Mella"
"FKWFNF92R22B522E","Adalardo","Mangiapelo","Avigliano"
"LLYYHJ28P49B157X","Algiso","Burla","Azzate"
"FQBLTT43T45L271J","Alberto","Pallucca","Azzano Mella"
"XTDKVG59D28F605E","Alcibiade","Burla","Atina"
"FGPKTM32L25F250Y","Alfonso","Campagiorni","Atri"
"YRLSBX54D65Z345W","Abdone","Mangiapelo","Aviatico"
"KXFVCR98S55D168M","Alceo","Scaccia","Asuni"
"QQTDSH54P63L303M","Agrippa","Mangiapelo","Augusta"
"NVNJPT84E20G913G","Alfio","Bracaglia","Aulla"
"QMTQMJ72S61M204I","Acrisio","Campagiorni","Attimis"
"BTQLHB34R61A975Q","Alano","Fusacchia","Aymavilles"
"VGVSZB98T64D915I","Alceo","Campagiorni","Avio"
"HNZVVF28C65G028Y","Aciscolo","Bracaglia","Avelengo"
"DKHTMG49H24I896S","Alcibiade","Burla","Atripalda"
"LLMSDV82R03B591I","Aiace","Scaccia","Avola"
"RRNHCT55M24F944G","Agostino","Scaccia","Atena Lucana"
"SBCGZR53B08A320F","Alfredo","Campagiorni","Atessa"
"ZVFRXE51C68I030E","Adelfo","Burla","Ausonia"
"DHAMJU58C68H445W","Agapito","Scaccia","Avelengo"
