"targa","data_immatricolazione","propietario","modello","allestimento"
"HF321TG","2010-05-22 22:10:25","PFXYBC33H43F924E","Lodgy","Sport"
"WL902LU","2010-05-22 22:10:25","DHAMJU58C68H445W","Lodgy","Sport"
"RP615KX","2010-05-22 22:10:25","GZMVGD91H61E684W","Lodgy","Sport"
"GM121CL","2010-05-22 22:10:25","BNFTNW47C31L775D","Lodgy","Sport"
"RE573GE","2010-05-22 22:10:25","DHAMJU58C68H445W","Lodgy","Sport"
"VO892XT","2010-05-22 22:10:25","RZRKLC70H07L772S","Lodgy","Sport"
"VV475PF","2010-05-22 22:10:25","YRLSBX54D65Z345W","Lodgy","Sport"
"TA438TY","2010-05-22 22:10:25","DHAMJU58C68H445W","Lodgy","Sport"
"QE015YK","2010-05-22 22:10:25","QTPVZC86D08E615C","Lodgy","Sport"
"TY572JZ","2010-05-22 22:10:25","BNFTNW47C31L775D","Lodgy","Sport"
"SC357LC","2010-05-22 22:10:25","QAUDCO74E20B457F","Lodgy","Sport"
"NQ062AY","2010-05-22 22:10:25","FQBLTT43T45L271J","Lodgy","Sport"
"MC182LR","2010-05-22 22:10:25","NZVDZQ91M61M211F","Lodgy","Sport"
"IC393NO","2010-05-22 22:10:25","RLBRBL54C59I690Y","Lodgy","Sport"
"BW921JD","2010-05-22 22:10:25","YRLSBX54D65Z345W","Lodgy","Sport"
"WO757MH","2010-05-22 22:10:25","DTBFGB99B22A760E","Lodgy","Sport"
"YA169QS","2010-05-22 22:10:25","HSLMDN80P51B235Q","Lodgy","Sport"
"IM143CD","2010-05-22 22:10:25","QAUDCO74E20B457F","Lodgy","Sport"
"BE905UB","2010-05-22 22:10:25","RLBRBL54C59I690Y","Lodgy","Sport"
"SA865ZH","2010-05-22 22:10:25","HCYBGQ39M54F035P","Lodgy","Sport"
"SM741HV","2010-05-22 22:10:25","QTPVZC86D08E615C","Lodgy","Sport"
"MM281KZ","2010-05-22 22:10:25","GZMVGD91H61E684W","Lodgy","Sport"
"JP743BC","2010-05-22 22:10:25","MRRFPM58E29C803O","Lodgy","Sport"
"EM992ZO","2010-05-22 22:10:25","BTQLHB34R61A975Q","Lodgy","Sport"
"HJ506BL","2010-05-22 22:10:25","QAUDCO74E20B457F","Lodgy","Sport"
"PM868DG","2010-05-22 22:10:25","GYCJCG74P43E317Y","Lodgy","Sport"
"AP057FM","2010-05-22 22:10:25","VFKNDG91H65C623X","Lodgy","Sport"
"VT694RP","2010-05-22 22:10:25","BNFTNW47C31L775D","Lodgy","Sport"
"AA323XQ","2010-05-22 22:10:25","VGVSZB98T64D915I","Lodgy","Sport"
"EW168FR","2010-05-22 22:10:25","FKWFNF92R22B522E","Lodgy","Sport"
"TB125TW","2010-05-22 22:10:25","HCYBGQ39M54F035P","Lodgy","Sport"
"HV191BY","2010-05-22 22:10:25","PFXYBC33H43F924E","Lodgy","Sport"
"UO380FG","2010-05-22 22:10:25","SBCGZR53B08A320F","Lodgy","Sport"
"UP191ZU","2010-05-22 22:10:25","RZRKLC70H07L772S","Lodgy","Sport"
"MV728MX","2010-05-22 22:10:25","PFXYBC33H43F924E","Lodgy","Sport"
"RH000YW","2010-05-22 22:10:25","QMTQMJ72S61M204I","Lodgy","Sport"
"IX422FS","2010-05-22 22:10:25","GYCJCG74P43E317Y","Lodgy","Sport"
"WC419EO","2010-05-22 22:10:25","NVNJPT84E20G913G","Lodgy","Sport"
"WD306UQ","2010-05-22 22:10:25","DTBFGB99B22A760E","Lodgy","Sport"
"VB454BI","2010-05-22 22:10:25","SBCGZR53B08A320F","Lodgy","Sport"
"WY568TN","2010-05-22 22:10:25","QTPVZC86D08E615C","Lodgy","Sport"
"BQ374UD","2010-05-22 22:10:25","LKDGXK54D05M153T","Lodgy","Sport"
"LQ458VX","2010-05-22 22:10:25","LKDGXK54D05M153T","Lodgy","Sport"
"MC512JC","2010-05-22 22:10:25","VFKNDG91H65C623X","Lodgy","Sport"
"IF323PK","2010-05-22 22:10:25","HNZVVF28C65G028Y","Lodgy","Sport"
"AF475PH","2010-05-22 22:10:25","XTDKVG59D28F605E","Lodgy","Sport"
"FJ704LV","2010-05-22 22:10:25","QAUDCO74E20B457F","Lodgy","Sport"
"NJ738KP","2010-05-22 22:10:25","GYCJCG74P43E317Y","Lodgy","Sport"
"EJ004WI","2010-05-22 22:10:25","PDHHXR28T43A184X","Lodgy","Sport"
"RZ940RG","2010-05-22 22:10:25","FQBLTT43T45L271J","Lodgy","Sport"
"WE863KP","2010-05-22 22:10:25","QQTDSH54P63L303M","Lodgy","Sport"
"CC432DW","2010-05-22 22:10:25","YRLSBX54D65Z345W","Lodgy","Sport"
"WO003AD","2010-05-22 22:10:25","HNZVVF28C65G028Y","Lodgy","Sport"
"JF583LS","2010-05-22 22:10:25","ZBRPQL35S52F939S","Lodgy","Sport"
"FQ284FT","2010-05-22 22:10:25","PFXYBC33H43F924E","Lodgy","Sport"
