"targa","data_immatricolazione","propietario","modello","allestimento"
"AG465DH","12/06/1977","MRRFPM58E29C803O","Serie4","Sport"
"DJ475KJ","01/06/1989","NZVDZQ91M61M211F","F8Spider","Premium"
"DF458FD","01/06/1978","RRNHCT55M24F944G","500X","Luxury"
"DS545MK","01/07/1956","PFXYBC33H43F924E","Tiguan","Business"
"KM345OK","01/03/2012","HNZVVF28C65G028Y","3","Sport"
"RG345KM","05/04/1986","PFXYBC33H43F924E","488","Luxury"
"FG453GF","01/07/1946","DHAMJU58C68H445W","Portofino","Performance"
"GF345OI","01/07/1972","HNZVVF28C65G028Y","Karoq","Premium"
"NB254MG","12/06/1977","DHAMJU58C68H445W","A6","Business"
"MH346DF","05/04/1965","DHAMJU58C68H445W","Kuga","Performance"
"EG345DF","01/02/1999","DHAMJU58C68H445W","X1","Performance"
"RG345KO","25/06/1975","FGPKTM32L25F250Y","Vitara","Performance"
"RO453RO","01/04/1979","LKDGXK54D05M153T","Polo","Performance"
"KL435OI","01/07/1946","FQBLTT43T45L271J","ModelY","Performance"
"RT454PO","01/07/1996","HNZVVF28C65G028Y","Superb","Sport"
"BN786KJ","01/08/1976","SBCGZR53B08A320F","A1","Performance"
"RG546GH","05/04/1965","BMPZVG79R45L487W","Dokker","Performance"
"FF345YT","01/07/1972","VFKNDG91H65C623X","Puma","Premium"
"DF565RT","01/07/1976","NZVDZQ91M61M211F","Arona","Performance"
"AS566YU","01/07/1972","LLMSDV82R03B591I","Passat","Performance"
"DF543WE","01/04/1979","BMPZVG79R45L487W","Focus","Premium"
"FF564UY","12/06/1977","GZMVGD91H61E684W","Fabia","Premium"
"DF345WE","01/06/1976","PDHHXR28T43A184X","Caddy","Sport"
"HG434RT","01/02/1999","KBWCYS71M09B985N","SanderoStepway","Sport"
"FH455RT","01/07/1986","QTPVZC86D08E615C","Duster","Performance"
"TH453RT","01/08/1999","XTDKVG59D28F605E","Sanderp","Premium"
"TH656ER","01/07/1972","BNFTNW47C31L775D","CHR","Performance"
"TH567YU","01/07/1946","BNFTNW47C31L775D","Yaris","Premium"
"FG345EW","01/06/1976","LLMSDV82R03B591I","Tipo","Luxury"
"HJ456EW","01/08/1999","QMTQMJ72S61M204I","Model3","Luxury"
"JY465WE","01/09/1976","HCYBGQ39M54F035P","A5","Performance"
"JY234ER","01/06/1976","RRNHCT55M24F944G","812Superfast","Premium"
"YU534RE","01/07/1956","KBWCYS71M09B985N","A3","Business"
"YU454RT","01/07/1956","FKWFNF92R22B522E","Jimny","Business"
"TY677RT","06/04/1986","ZVFRXE51C68I030E","Ibiza","Luxury"
"RT567ER","01/08/1976","PFXYBC33H43F924E","Lodgy","Business"
"YT456RT","01/02/1999","VGVSZB98T64D915I","Serie1","Sport"
"TY456EY","01/06/1976","BNFTNW47C31L775D","ModelX","Sport"
"RY345ER","01/04/1979","KBWCYS71M09B985N","Corolla","Business"
"RG234RE","21/01/1975","XTDKVG59D28F605E","Leon","Premium"
"YT465TR","01/02/2013","XTDKVG59D28F605E","Octavia","Luxury"
"RT345HG","01/06/1976","BMPZVG79R45L487W","Prius","Performance"
"UU435DF","01/07/1976","QAUDCO74E20B457F","Serie2","Luxury"
"TT534DF","01/07/1989","BNFTNW47C31L775D","Scala","Luxury"
"RT345FD","01/08/1976","YRLSBX54D65Z345W","Fiesta","Premium"
"ER234RT","01/06/1989","SBCGZR53B08A320F","Swift","Sport"
"WE453RT","01/08/1999","LKDGXK54D05M153T","MX5","Luxury"
"ER453RT","01/06/1978","YRLSBX54D65Z345W","Panda","Performance"
"TR435RT","01/02/1999","LKDGXK54D05M153T","500L","Luxury"
"UY345RT","01/06/1976","QTPVZC86D08E615C","A4","Sport"
"GG565TR","01/02/1999","GZMVGD91H61E684W","Aygo","Luxury"
"TT565FD","06/04/1969","XTDKVG59D28F605E","T-Roc","Premium"
"ER566FG","06/04/1986","QTPVZC86D08E615C","Serie3","Luxury"
"ER456TY","24/05/1979","LKDGXK54D05M153T","Ecosport","Luxury"
"RE456RT","01/03/2012","DKHTMG49H24I896S","Golf","Luxury"
"AS787ER","01/07/1989","XTDKVG59D28F605E","6","Sport"
"AS678ER","01/02/1999","QQTDSH54P63L303M","2","Premium"
"AS786RE","01/07/1986","KXFVCR98S55D168M","Tarraco","Performance"
"DS768RT","12/06/1977","RRNHCT55M24F944G","500","Premium"
"AD768TR","01/06/1976","QMTQMJ72S61M204I","Touareg","Luxury"
"AS768TY","06/04/1986","BNFTNW47C31L775D","Arteon","Sport"
"SD543ER","01/01/1973","BTQLHB34R61A975Q","T-Cross","Premium"
"AS345TR","01/06/1976","LLMSDV82R03B591I","Ateca","Performance"
"DF345RT","01/06/1978","NVNJPT84E20G913G","GTC4Lusso","Business"
"DF655TY","01/06/1989","QAUDCO74E20B457F","up!","Luxury"
"SA546TY","24/05/1979","PDHHXR28T43A184X","Celerio","Business"
"AS564GH","01/03/2012","LKDGXK54D05M153T","Ignis","Performance"
"AD436JF","01/06/1976","SBCGZR53B08A320F","CX3","Business"
