"cf","nome","cognome","residenza"
"PFXYBC33H43F924E","Agrippa","Bracaglia","Avella"
"LLYYHJ28P49B157X","Addo","Campagiorni","Attimis"
"BTQLHB34R61A975Q","Adelberto","Bracaglia","Assoro"
"RLBRBL54C59I690Y","Abenzio","Burla","Avigliana"
"XTDKVG59D28F605E","Albrico","Burla","Avolasca"
"PDHHXR28T43A184X","Abibo","Bracaglia","Atina"
"DKHTMG49H24I896S","Agrippa","Burla","Azeglio"
"BMPZVG79R45L487W","Alighiero","Burla","Avise"
"QAUDCO74E20B457F","Aimone","Burla","Atrani"
"HCYBGQ39M54F035P","Aciscolo","Pallucca","Azzano San Paolo"
"LKDGXK54D05M153T","Adalberto","Pallucca","Avella"
"NVNJPT84E20G913G","Alighiero","Bracaglia","Azzano"
"RRNHCT55M24F944G","Adelgardo","Scaccia","Avelengo"
"HNZVVF28C65G028Y","Alano","Pallucca","Ayas"
"TPLFHK94L23C596M","Aciscolo","Fusacchia","Avezzano"
"KBWCYS71M09B985N","Acario","Campagiorni","Aviano"
"FKWFNF92R22B522E","Aimone","Campagiorni","Azeglio"
"BNFTNW47C31L775D","Abramio","Bracaglia","Avolasca"
"VFKNDG91H65C623X","Adriano","Bracaglia","Azzano"
"VGVSZB98T64D915I","Aleardo","Scaccia","Azeglio"
"ZVFRXE51C68I030E","Abramio","Quattrociocchi","Aviatico"
"FQBLTT43T45L271J","Acacio","Mangiapelo","Aviatico"
"GYCJCG74P43E317Y","Abramio","Campagiorni","Avolasca"
"HSLMDN80P51B235Q","Agenore","Campagiorni","Atripalda"
"PPJTKR52S49G297K","Alboino","Mangiapelo","Azeglio"
"RZRKLC70H07L772S","Abbondanzio","Burla","Avellino"
"YRLSBX54D65Z345W","Adalberto","Mangiapelo","Avigliano Umbro"
"MRRFPM58E29C803O","Aleardo","Bracaglia","Avise"
"ZBRPQL35S52F939S","Acario","Fusacchia","Avigliana"
"SBCGZR53B08A320F","Alarico","Quattrociocchi","Avio"
"DHAMJU58C68H445W","Abibo","Burla","Avigliano"
"KXFVCR98S55D168M","Abdone","Quattrociocchi","Avio"
"QQTDSH54P63L303M","Adalfredo","Burla","Avigliano Umbro"
"QTPVZC86D08E615C","Acrisio","Mangiapelo","Atessa"
"QMTQMJ72S61M204I","Abibo","Mangiapelo","Auronzo di Cadore"
"LLMSDV82R03B591I","Adeodato","Mangiapelo","Atri"
"NZVDZQ91M61M211F","Almiro","Quattrociocchi","Aurano"
"DTBFGB99B22A760E","Aldobrando","Quattrociocchi","Auletta"
"FGPKTM32L25F250Y","Almiro","Campagiorni","Avise"
"GZMVGD91H61E684W","Almerigo","Quattrociocchi","Atena Lucana"
